slide;anglais;français
669;Keep your fingers crossed.;Croise les doigts.
670;She was totally exhausted.;Elle était totalement épuisée.
671;She's very well, thank you.;Elle est très bien, merci.
672;That's the latest fashion.;C'est la dernière mode.
673;They elected him chairman.;Ils l'ont élu président.
674;Things are getting better.;Les choses s'améliorent.
675;You've ruined everything.;Vous avez tout gâché.
676;He speaks English fluently.;Il parle couramment l'anglais.
677;I'm forty-two years old.;J'ai quarante-deux ans.
678;What's your favorite music?;Quelle est ta musique préférée?
679;What's your favorite sport?;Quel est votre sport préféré?
680;What's your favorite steps?;Quelles sont vos étapes préférées?
681;Your english is incredible.;Votre anglais est incroyable.
682;Here's your receipt.;Voici votre reçu.
683;It's a friendly competition.;C'est une compétition amicale.
684;Let's get together sometime.;Revenons quelque temps.
685;Opportunity knocks but once.;L'opportunité frappe mais une fois.
686;Please don't blame yourself.;Ne vous culpiez pas.
687;She dressed herself hastily.;Elle s'habilla à la hâte.
688;Thanks for your cooperation.;Merci de votre coopération,
689;Everything has its beginning and end.;Tout a son début et sa fin.
690;I appreciate your invitation.;J'apprécie votre invitation.
691;She's engaged to John.;Elle est engagée chez John.
692;She's married to John.;Elle est mariée à John.
693;We're broadcasting from London.;Nous diffusons de Londres.
694;Your pronunciation is excellent.;Votre prononciation est excellente.
695;Your satisfaction is guaranteed.;Notre satisfaction est garantie.
696;Those men aren't students, either.;Ces hommes ne sont pas non plus des étudi:
697;Personally, | prefer winter weather.;Personnellement, je préfère la météo hivern:
698;I bet you can.;Je parie que tu peux.
699;We can get by.;Nous pouvons nous passer.
700;Don't push me.;Ne me pousse pas.
701;I'm sick of it.;J'en ai marre.
702;Is that a book?;Est-ce un livre?
703;May I help you?;Puis-je vous aider?
704;May try it on?;Puis-je essayer?
705;Where do I pay?;Où est-ce que je paie?
706;Get off my back.;Laisse moi tranquille.
707;Give me a break.;Laisse-moi tranquille.
708;He is ill in bed.;Ilest malade au lit.
709;I have to go now.;Je dois partir maintenant.
710;Let me help you.;Laissez-moi vous aider.
711;You piss me off.;Tu m'énerves.
712;Get away from me.;Éloignez-vous de moi.
713;He is a smart boy.;C'est un garçon intelligent.
714;He is an able man.;Il est un homme capable.
715;How old are you?;Quel âge avez-vous?
716;I mean what | say.;Je veux dire ce que je dis.
717;I'm from Canada.;Je viens du Canada .
718;What did you say?;Qu'est-ce que vous avez dit?
719;What do you want?;Qu'est-ce que tu veux?
720;What is it about?;De quoi s'agit-il?
721;What month is it?;Quel mois est-il?
722;You make me sick.;Vous me dégoûtez.
723;You may go in now.;Vous pouvez entrer maintenant.
724;Can l'use the elevator?;Puis-je utiliser l'ascenseur?
725;Could you help me?;Pourriez-vous m'aider?
726;Don't be that way.;Ne soyez pas de cette façon.
727;Guess how old | am.;Devine quel age j'ai.
728;Have you got that?;Avez-vous eu ça?
729;He is just a child.;Il est juste un enfant.
730;I felt sort of ill.;Je me sentais quelque peu malade.
731;I have a good idea.;J'ai une bonne idée.
732;I was just on time.;J'étais juste à l'heure.
733;I'm in a good mood.;Je suis de bonne humeur.
734;Is it raining now?;Est-ce qu'il pleut maintenant?
735;Is this book his?;Est-ce que ce livre est son?
736;It's not my fault.;Ce n'est pas de ma faute.
737;It's up in the air.;C'est en l'air.
738;May l use your pen?;Puis-je utiliser votre stylo?
739;Move out of my way.;Sortez de mon chemin.
740;She had a bad cold.;Elle avait un mauvais rhume.
741;Today is Aug.11nd.;Aujourd'hui, c'est le 11 août.
742;We can work it out.;On peut s'arranger.
743;We had a good time.;On a passé un bon moment.
744;What are you up to?;Qu'est-ce que tu fais?
745;you did a good job.;tu as bien travaillé.
746;You make me so mad.;Tu me mets tellement en colère.
747;Can she be a driver?;Peut-elle être un conducteur?
748;How did you like it?;Comment l'avez-vous aimé?
749;How do you spell it?;Comment ça s'épelle?
750;I am a football fan.;Je suis fan de football.
751;I am bored to death.;Je m'ennuie à mort.
752;I feel the same wary.;Je ressens la même chose.
753;I know all about it.;Je sais tout à propos de ça.
754;I wake my sister up.;Je réveille ma soeur.
755;I'd be glad to help.;Je serais ravi de vous aider.
756;I'll play it by ear.;Je l'écouterai à l'oreille.
757;I'll see you at six.;Je te verrai à six heures.
758;If only I could fly.;Si seulement je pouvais voler.
759;Is it true or false?;Est-ce vrai ou faux?
760;It will do you good.;Cela vous fera du bien.
761;Just read it for me.;Il suffit de le lire pour moi.
762;Let's call it a day.;Appelons le un jour.
763;Take it or leave it.;À prendre ou a laisser.
764;Take my word for it.;Prenez ma parole pour cela.
765;This boy has no job.;Ce garçon n'a pas de travail.
766;What time is it now?;Quelle heure est-il maintenant?
767;You can count on me.;Tu peux compter sur moi.
768;You got a good deal.;Vous avez une bonne affaire.
769;But you sound so sad.;Mais vous sonnez trop triste.
770;Can I take a message?;Puis-je prendre un message?
771;Did you miss the bus?;Vous avez manqué le bus?
772;Do you go on picnics?;Est-ce que vous partez en pique-nique?
773;Do you have any idea?;Avez-vous une idée?
774;He can't take a joke.;Il ne peut pas se moquer.
775;He is in conference.;Il est en conférence.
776;How long did it last?;Combien de temps cela a-t-il duré?
777;How much is this rug?;Combien coûte ce tapis?
778;I envy you very much.;Je vous envie beaucoup.
779;I got there by plane.;Je suis arrivé en avion.
780;I was about to leave.;J'étais sur le point de partir.
781;I'll give you a hand.;Je vais vous donner une main.
782;I'll go to a concert.;Je vais aller à un concert.
783;I'll pick up the tab.;Je vais régler l'addition.
784;I'll take care of it.;Je vais m'en occuper.
785;It's a piece of cake.;C'est du gâteau.
786;It's a waste of time.;C'est une perte de temps.
787;May I have a receipt?;Puis-je avoir un reçu?
788;May ! have your name?;Puis-je avoir votre nom?
789;No, | don't think so.;Non, je ne le pense pas.
790;No, I'm a single son.;Non, je suis fils unique.
791;Tell me all about it.;Dis-moi tout à propos de cela.
792;That's a good idea.;C'est une bonne idée.
793;That's the way it is.;C'est comme ça.
794;This house is my own.;Cette maison est la mienne.
795;What a stupid idiot.;Quel stupide idiot.
796;Where can I check in?;Où puis-je vérifier?
797;Where were you born?;Où êtes-vous né?
798;Why did you go there?;Pourquoi es-tu allé là-bas?
799;You are a great help.;Vous êtes une grande aide.
800;You are just in time.;Vous êtes juste à temps.
801;You've gone too far.;Vous êtes allé trop loin.
802;Can | take your order?;Puis-je prendre votre commande?
803;Do you have my pencil?;Avez-vous mon crayon?
804;Do you like pop music?;Aimez-vous la musique Pop?
805;Do you often work outll;Est-ce que vous travaillez souvent?
806;Do you really mean it?;Est-ce que tu le veux dire vraiment?
807;Go straight this way.;Aller tout droit de cette façon.
808;He has a large income.;Il a un revenu important.
809;He owes my uncle $1000;Il doit mon oncle à 100 $.
810;He was about to start.;Il était sur le point de commencer.
811;Here's a gift for you.;Voici un cadeau pour vous.
812;How big is your house?;Quelle est la taille de votre maison?
813;How did you get there?;Comment êtes-vous arrivé là?
814;How much does it cost?;Combien ça coûte?
815;I caught the last bus.;J'ai pris le dernier bus.
816;I don't know for sure.;Je ne sais pas avec certitude.
817;I guess he's about 30.;Je suppose qu'il compte environ 30 ans.
818;I suppose he was sick.;Je suppose qu'il était malade.
819;I was 10 minutes late.;J'avais 10 minutes de retard.
820;l'I have to try that.;Je vais devoir essayer cela.
821;I'm about to explode.;de suis sur le point d'exploser.
822;I'm glad to hear that.;Je suis content de l'entendre.
823;I'm very proud of you.;Je suis très fier de toi.
824;I've got news for you.;J'ai des nouvelles pour vous.
825;It's a nice day today.;Il fait beau aujourd'hui.
826;It's been a long time.;Ça fait longtemps.
827;It's the year of 2017.;C'est l'année 2017.
828;Keep up the good work.;Continuez votre bon travail.
829;Lovely day, isn't it?;Jolie journée, n'est-ce pas?
830;Nice to meet you, too.;Ravi de vous rencontrer également.
831;Not a sound was heard.;Aucun bruit n'a été entendu.
832;Please give me a hand.;Donnez-moi une main.
833;Some of them are mine.;Certains d'entre eux sont à moi.
834;Sorry, he's not here.;Désolé, il n'est pas là.
835;The one on your right.;Celui de votre droite.
836;This book is above me.;Ce livre est au-dessus de moi.
837;We're so proud of you.;Nous sommes tellement fiers de vous.
838;What day is tomorrow?;C'est quel jour demain?
839;What is it like there?;A quoi cela ressemble-t-il la bas?
840;What is she doing now?;Que fait-elle maintenant?
841;What makes you say so?;Qu'est-ce qui vous fait dire?
842;When will it be ready?;Quand sera-t-il prêt?
843;Who are those people?;Qui sont ces gens?
844;Who did Steve marry?;Qui s'est marié Steve?
845;Whois in charge here?;Qui est responsable ici?
846;You have a good taste.;Vous avez un bon goût.
847;You'll get used to it.;Tu t'y habitueras.
848;Are you ready to order?;Êtes-vous prêt à commander?
849;Better luck next time.;Plus de chance la prochaine fois.
850;Could you say it again?;Pourriez-vous le répéter?
851;Do come again, please.;Revenez, s'il vous plaît.
852;Do they have children?;Ont-ils des enfants?
853;Do you fell better now?;Est-ce que tu es devenu nl
854;Do you have a computer?;As tu un ordinateur?
855;Do you mind my smoking?;Est-ce que ça vous dérange de fumer?
856;Do you want some fruit?;Voulez-vous des fruits?
857;Don't take it to heart.;Ne le prenez pas compte.
858;Easier said than done.;Plus facile à dire qu'à faire.
859;Get me my coat, please.;Obtenez moi mon manteau, s'il vous plaît.
860;He has a strong accent.;Il a un fort accent.
861;He was born in UK.;Il est né au Royaume-Uni.
862;His name is Joe Smith.;Il s'appelle Joe Smith.
863;How long is the street?;Combien de temps dure la rue?
864;I don't feel very well.;Je ne me sens pas très bien.
865;I enjoyed it very much.;Je l'ai beaucoup apprécié.
866;l'hurried to my office.;Je me suis précipité dans mon bureau.
867;I prefer sushi to pizza.;Je préfère les sushis à la pizza.
868;I wasn't aware of that.;Je ne le savais pas.
869;I will be more careful.;Je serai plus prudent.
870;I will never forget it.;Je ne l'oublierai jamais.
871;I'll be right with you.;Je serai juste avec vous.
872;I'll keep my eyes open.;Je vais garder les yeux ouverts.
873;I'm just having a look.;Je regarde juste.
874;I'm sorry to hear that.;Je suis désolé d'entendre ça.
875;I've got my hands full.;J'ailes mains pleines.
876;Is he coming to dinner?;Est-ce qu'il vient diner?
877;Is that girl a student?;Est-ce une fille étudiante?
878;It might be, | suppose.;C'est peut-être, je suppose.
879;Kate is smarter than I.;Kate est plus intelligente que moi.
880;Let's get to the point.;Allons au but.
881;Nice talking with you.;Ravi d'avoir discuté avec vous.
882;Please let me see them.;Permettez-moi de les voir.
883;She has been to school.;Elle a été à l'école.
884;Supper is ready at six.;Le souper est prêt à six heures.
885;Thank you all the same.;Merci tout de même.
886;That's what you think.;C'est ce que tu penses.
887;The meeting is put off.;La réunion est reportée.
888;The rumor had no basis.;La rumeur n'avait aucune base.
889;This house is for rent.;Cette maison est à louer.
890;What have you decided?;Qu'avez-vous décidé?
891;Who are you writing to?;À qui es-tu entrain d'écrire?
892;You can say that again.;Tu peux le répéter.
893;You have the final say.;Vous avez le dernier mot.
894;12 divided by 3 equals 4.;12 divisé par 3 est égal à 4.
895;All for one, one for all.;Tous pour un un pour tous.
896;Are you John's brother?;Êtes-vous le frère de John?
897;Are you watching TV now?;Êtes-vous entrain de regarder la TV?
898;Do you have any hobbies?;Avez vous des passions?
899;Do you have some change?;Avez-vous de la monnaie ?
900;Have him return my call.;Demandez-lui de renvoyer mon appel.
901;He's got a bad headache.;Il a un gros mal de tête.
902;How wide is this bridge?;Quelle largeur est ce pont?
903;I couldn't be more sure.;Je ne pourrais pas être plus sûr.
904;I like hot weather best.;J'aime surtout le temps chaud.
905;I meet the boss himself.;Je rencontre le patron lui-même.
906;I never liked it anywary.;Je ne l'ai jamais aimé de toute façon.
907;I usually wake up early.;Je me lève habituellement tôt.
908;I work hard all morning.;Je travaille dur toute la matinée.
909;I'll never forgive you.;Je ne vous pardonnerai jamais.
910;I'll treat you to diner.;Je t'invite à dîner.
911;I'll wear my blue dress.;Je porterai ma robe bleue.
912;I'm glad you enjoyed it.;Je suis heureux que vous l'ayez apprécié.
913;It can happen to anyone.;Cela peut arriver à n'importe qui.
914;It doesn't matter to me.;Ce n'est pas grave pour moi.
915;It won't take much time.;Il ne faudra pas beaucoup de temps.
916;Let's hope for the best.;Espérons le meilleur.
917;Any is a Sophomore now.;Amy est en deuxième année.
918;Mind your own business.;Occupe-toi de tes oignons.
919;Please show me the menu.;Veuillez me montrer le menu.
920;Very pleased to meet you.;Merci de vous rencontrer.
921;What day was yesterday?;Quel jour étions-nous hier?
922;What did the doctor say?;Qu'a dit le docteur?
923;What were you thinking?;A quoi étiez-vous en train de penser?
924;What's the matter with you?;Quel est ton problème?
925;What's your first name?;Quel est votre prénom?
926;Which is the right size?;Quelle est la taille adéquate?
927;Winter is a cold season.;L'hiver est une saison froide.
928;You should see a doctor.;Vous devriez voir un médecin.
929;Your shoe lace is loose.;Votre dentelle est lâche.
930;Bring me the bill please.;Apportez-moi la facture s'il vous plaît.
931;Can you write in English?;Peux-tu écrire en anglais?
932;Do you have shampoo here?;Avez-vous un shampooing ici?
933;Don't play games with me.;Ne jouez pas avec moi.
934;Have | made myself clear?;Est-ce que je me suis bien compris?
935;Have you heard from Maryi;Avez-vous entendu parler de Mary?
936;Have you milked the cows?;Avez-vous traqué les vaches?
937;Have you seen the doctor?;Avez-vous vu le médecin?
938;He doesn't care about me.;Ilne se soucie pas de moi.
939;He grasped both my hands.;Il m'a saisi les deux mains.
940;I am busy cooking dinner.;Je suis occupé à cuisiner le dîner.
941;I feel terrible about it.;Je me sens terrible à ce sujet.
942;I hope you'il forgive me.;J'espère que tu me pardonnerai.
943;I walked across the park.;Je traversai le parc.
944;I went there on business.;Je suis allé là-bas pour affaires.
945;I'll have some ice cream.;Je vais avoir de la glace.
946;I'm not used to drinking.;Je ne suis pas habitué à boire.
947;Is the cut still painful?;La coupe est-elle encore pénible?
948;It was a five-hour flight.;C'était un vol de cinq heures.
949;It's a quarter past five.;Il est cinq heure et quart.
950;It's out of the question.;C'est hors de question.
951;It's ten minutes to four.;Il est de dix minutes pour quatre.
952;Mary is a blue-eyed girl.;Mary est une fille aux yeux bleus.
953;Let's not waste our time.;Ne perdons pas notre temps.
954;May I! ask some questions?;Puis-je poser quelques questions?
955;Mike is already a junior.;Mike est déjà junior.
956;My bedroom is just above.;Ma chambre est juste au-dessus.
957;Neither of the men spoke.;Aucun des hommes ne parlait.
958;Please tune in next time.;Veuillez vous connecter la prochaine fois.
959;Sorry, we only take cash.;Désolé, nous n'acceptons que l'argent liquide.
960;Stop making such a noise.;Arrêtez de faire un tel bruit.
961;We just caught the plane.;Nous venons de prendre l'avion.
962;We walked along the road.;Nous marchions le long de la route.
963;What does your father do?;Que fait ton père?
964;What shall we do tonight?;Que devrions nous faire ce soir?
965;What's your goal in life?;Quel est ton but dans la vie?
966;When was the house built?;Quand la maison a-t-elle été construite?
967;Where can I change money?;Où puis-je changer de l'argent?
968;Would you like some help?;Voudrais-tu de l'aide?
969;You are just saying that.;Vous dites simplement cela.
970;You mustn't aim too high.;Vous ne devez pas trop pointer.
971;You've got a point there.;Vous avez un point là.
972;Are these books all yours?;Ces livres sont-ils tous à vous?
973;Can we change the channel?;Peut-on changer la chaîne?
974;Cheers to our friendship.;Bonjour à notre amitié.
975;Did you enjoy your flight?;Avez-vous apprécié votre vol?
976;Did you enter the contest?;Avez-vous participé au concours?
977;Did you fight with others?;Avez-vous combattu avec les autres?
978;Don't cry over spilt milk.;Ne pas pleurer sur le lait répandu.
979;Don't let chances pass by.;Ne laissez pas passer les chances.
980;Don't take it for granted.;Ne le prenez pas pour acquis.
981;Have you seen Jack lately?;Avez-vous déjà vu Jack récemment?
982;He doesn't smoke or drink.;Il ne fume pas ou ne boit pas.
983;He has completed the task.;Il a terminé la tâche.
984;He strolls about the town.;Il se promène sur la ville.
985;Her tooth ached all night.;Ses dents doutaient toute la nuit.
986;How about a drink tonight?;Que diriez-vous d'une boisson ce soir?
987;How are you feeling today?;Comment vous sentez-vous aujourd'hui?
988;I heard some one laughing.;J'ai entendu quelqu'un rire.
989;I never used to oversleep.;Je n'avais pas l'habitude de faire la grasse matinée.
990;I slept soundly all night.;J'ai dormi profondément toute la nuit.
991;I want my steak well-done.;Je veux mon steak bien cuit.
992;I'm flying back tomorrow.;Je retourne demain.
993;I'm looking forward to it.;Je suis impatient de le faire.
994;I've known that all along.;Je le savais tout le temps.
995;It's too expensive for me.;C'est trop cher pour moi.
996;Jack and Anne are engaged.;Jack et Anne sont fiancés.
997;My watch says two o'clock.;Ma montre dit deux heures.
998;No spitting on the street.;Pas de crachage dans la rue.
999;No, I haven't decided yet.;Non, je n'ai pas encore décidé.
1000;Spring is a pretty season.;Le printemps est une belle saison.
1001;Thank you for your advice.;Merci pour votre conseil.
1002;The coat doesn't suit you.;Le manteau ne vous convient pas.
1003;The train arrived on time.;Le train est arrivé à l'heure.
1004;The weather is nice today.;Le temps est beau aujourd'hui.
1005;Think well before you act.;Pensez bien avant d'agir.
1006;Turn up your radio please.;Montez le son de la radio, s'il vous plaît.
1007;What position do you play?;Quelle position jouez-vous?
1008;What's the weather today?;Quel temps fait-il aujourd'hui?
1009;What's your friend doing?;Que fait votre ami?
1010;You've made a good choice.;Vous avez fait un bon choix.
1011;Your English is very good.;Ton anglais est très bon.
1012;A barking dog doesn't bite.;Un chien qui aboie ne mord pas.
1013;Are you free this Saturday?;Êtes-vous libre ce samedi?
1014;Cancer is a deadly disease.;Le cancer est une maladie mortelle.
1015;Do you accept credit cards?;Acceptez-vous les cartes de crédit?
1016;Do you have an appointment?;As-tu un rendez-vous?
1017;Don't keep me waiting long.;Ne me faites pas attendre longtemps.
1018;He has a remarkable memory.;Il a un souvenir remarquable.
1019;He seems at little nervous.;Il semble peu nerveux.
1020;His flattery makes me sick.;Sa flatterie me rend malade.
1021;His looks are always funny.;Son apparence est toujours drôle.
1022;I generally agree with you.;Je suis généralement d'accord avec vous.
1023;I was alone, but not lonely,;J'étais seul, mais pas seul.
1024;I'll have mashed potatoes .;Je vais prendre de la purée de pommes de terre.
1025;I'm sorry.I'm engaged now.;Je suis désolé. Je suis engagé maintenant.
1026;It's none of your business.;Ce n'est pas ton affaire.
1027;We sailed against the wind.;Nous avons navigué contre le vent.
1028;May I speak to Katell please?;Puis-je parler à Kate, s'il vous plaît?
1029;Mr.Lee is fixing his bike.;M.Lee fixe son vélo.
1030;No littering on the campus.;Pas de déchets sur le campus.
1031;Please give me your advice.;Donnez-moi vos conseils.
1032;She is a good-looking girl.;Elle est une fille de bonne mine.
1033;What are you talking about?;Qu'est-ce que tu racontes?
1034;She mended the broken cellphone.;Elle a réparé le téléphone cellulaire cassé.
1035;What are you interested in?;Qu'est-ce qui vous intéresse?
1036;The whole world knows that.;Le monde entier le sait.
1037;Tomorrow will be a holiday.;Demain sera un jour férié.
1038;Turn down the radio please.;Abaissez la radio s'il vous plait.
1039;We shall arrive soon after.;Nous arriverons peu de temps après.
1040;What's the matter with youll;Quel est ton problème ?
1041;What's your favorite food?;Quel est ton plat préféré?
1042;What's your friend's name?;Quel est le nom de votre ami?
1043;You'd better let her alone.;Tu ferais mieux de la laisser tranquille.
1044;You've got an express mail.;Vous avez un courrier express.
1045;A lost chance never returns.;Une chance perdue ne revient jamais.
1046;I live on Chicago Street.;J'habite sur Chicago Street.
1047;I plan to learn photography.;J'ai l'intention d'apprendre la photographie.
1048;I'm not waiting for anybody.;Je n'attends personne.
1049;I've already read that book.;J'ai déjà lu ce livre.
1050;It's going to snow tomorrow.;Il va neiger demain.
1051;It's very thoughtful of you.;C'est très attentionné de votre part
1052;Albert will retire next year.;Albert prendra sa retraite l'année prochaine.
1053;Someone is ringing the bell.;Quelqu'un sonne la cloche.
1054;The days are getting hotter.;Les jours deviennent plus chauds.
1055;The Smiths are my neighbors.;Les Smith sont mes voisins.
1056;These shoes don't fit right.;Ces chaussures ne vont pas bien.
1057;What time do you open?;A quelle heure ouvrez-vous?
1058;What time do you close?;A quelle heure fermez-vous?
1059;What's his native language?;Quelle est sa langue maternelle?
1060;Yesterday it rained all day.;Hier
1061;This pen doesn't write well.;Ce stylo n'écrit pas bien.
1062;Check your answers with mine.;Vérifiez vos réponses avec les miennes.
1063;Have you got anything larger?;Avez-vous quelque chose de plus grand?
1064;He speaks with London accent.;Il parle avec l'accent de Londres.
1065;His father runs a restaurant.;Son père dirige un restaurant.
1066;How fragrant the flowers are.;Quelles sont les fleurs parfumées.
1067;I haven't the slightest idea.;Je n'ai pas la moindre idée.
1068;I prefer fishing to swimming.;Je préfère la pêche à la natation.
1069;It was a terrible experience.;C'était une expérience terrible.
1070;It's been cloudy all morning.;Il a été nuageux toute la matinée.
1071;Please make yourself at home.;Fais comme chez toi.
1072;Plenty of sleep is healthful.;Beaucoup de sommeil est sain.
1073;My native language is Chinese.;Ma langue maternelle est chinoise.
1074;The shortest answer is doing.;La réponse la plus courte est de faire.
1075;Would you call back tomorrow?;Appellerais-tu demain?
1076;Your daughiter is so cute.;Votre fille est si mignonne.
1077;Aren't you concerned about it?;Ne vous inquiétez-vous pas?
1078;Did you eat something unusual?;Avez-vous mangé quelque chose d'inhabituel ?
1079;Have you reserved your ticket?;Avez-vous réservé votre billet?
1080;I can't resist the temptation.;Je ne peux pas résister à la tentation.
1081;I really appreciate your help.;J'apprécie vraiment votre aide.
